EnvironmentIndex,EnvironmentClass
0.035968038968559914,Low
0.031995313340014146,Low
0.008993153519272379,Low
0.04455404951831096,Low
0.1896144239671911,High
0.016917225771073144,Low
0.2599180746376711,High
0.16623051275896114,High
0.013085268060605736,Low
0.0006995600496544415,Low
0.00011517707250099323,Low
0.016572794836272768,Low
0.0010807409851304492,Low
0.05461348464775941,Low
0.08410681363616414,High
0.02571828484838947,Low
0.005449875927176793,Low
0.05057624573392777,Low
0.10329473893481626,High
0.08473486847554583,High
0.00988030023540272,Low
0.4794740348549285,High
0.009924730651450997,Low
0.06940899924826958,Low
0.02343372426712301,Low
0.026406922763308097,Low
0.011321799835437803,Low
0.04574128657307427,Low
0.046678673351201856,Low
0.4635555838285559,High
0.061331887700509936,Low
0.0019177505651019203,Low
0.24404390666384415,High
0.11953933183158465,High
0.3048909118579377,High
0.002093641794093624,Low
0.05660331598149546,Low
0.04873786973244647,Low
0.1490777067143966,High
0.0055030394096431704,Low
0.11085022392211469,High
0.019239290528209156,Low
0.011325372910545878,Low
0.061246008762539765,Low
0.11852675576524384,High
0.0020551644402365473,Low
0.06385391836251941,Low
0.19932036352527496,High
0.009818065817380515,Low
0.02528749273695342,Low
0.02966808962386674,Low
0.01334025961149402,Low
0.12345993966232127,High
0.02243839385294977,Low
0.048876058465850455,Low
0.14768837302864452,High
0.2330524001669354,High
0.15352666660466624,High
0.055721988004865046,Low
0.002872585327972176,Low
0.031518461015346416,Low
0.13500193744034988,High
0.03196044055070112,Low
0.029615501401965314,Low
0.04174195755861761,Low
0.050602138967486596,Low
0.005052723930644771,Low
0.0161877669063158,Low
0.0198158281966045,Low
0.10353972592766003,High
0.01573390620574401,Low
0.02842509334587237,Low
0.037493657531792644,Low
0.18347344139116814,High
0.02178888270931302,Low
0.013001556097490253,Low
0.15644631330527237,High
0.007968578413573712,Low
0.14780058702325205,High
0.016769170943115905,Low
0.15447892879649347,High
0.009520922011020972,Low
0.11355006355285052,High
0.03343883918775569,Low
0.023848202332510178,Low
0.019466187056060635,Low
0.013239790219365619,Low
4.140199668023908e-05,Low
0.13930346670105898,High
0.05636929593975878,Low
0.12772854557648328,High
0.01016508404126699,Low
0.027081380683058303,Low
0.0068394449142444285,Low
0.0008408183139245559,Low
0.11327702840053944,High
0.06419878489397732,Low
0.05468900231533098,Low
0.0327982267816744,Low
0.1546342500746331,High
0.002490212508561044,Low
0.041844347256754955,Low
0.004285408143159906,Low
0.0151342068967325,Low
0.01304562381780376,Low
0.12941779974559392,High
0.010007982617230363,Low
0.1024954072834669,High
0.005240427521174555,Low
0.02372300402990751,Low
0.05588112065404336,Low
0.05279033373520523,Low
0.03882714591364047,Low
0.008724354829840263,Low
0.05699150040921741,Low
0.3037805118638362,High
0.14269823276055052,High
0.012343995804315503,Low
0.03443749438073545,Low
0.01898035141383376,Low
0.3452485766827188,High
0.00020280149976006817,Low
0.028932564575347382,Low
0.21857498446569554,High
0.11709870978072513,High
0.18934369382409338,High
0.19063272476294313,High
0.16289232871233061,High
0.06767248264989081,Low
0.17073697275334118,High
5.1736446313781974e-05,Low
0.11107165656356803,High
0.2444989556757173,High
0.023900596446995964,Low
0.002420164186043172,Low
0.026375732034656485,Low
0.020329424431074692,Low
0.04493532352722168,Low
0.0005912611289321945,Low
0.01968152008776292,Low
0.08635919088776133,High
0.07092510471038743,Low
0.0043264306629745815,Low
0.021349754197894182,Low
0.017486415279716824,Low
0.18207569379563138,High
0.16468522617818443,High
0.028744581629909876,Low
0.03415511763771337,Low
0.2660886674143224,High
0.15444308489928962,High
0.011527579850981592,Low
0.016815926969017136,Low
0.03611636853122752,Low
0.039836779212054786,Low
0.03240193785433235,Low
0.0012339408027065284,Low
0.025535653530121345,Low
0.0014864511874089744,Low
0.013181780506840891,Low
0.037191036303791704,Low
0.0006284521239846502,Low
0.03673943986109485,Low
0.017904928173911136,Low
0.00431813453909686,Low
0.14900252613484916,High
0.27585025331304197,High
0.269458974083899,High
0.01701911093195549,Low
0.17192147893114187,High
0.03934940936143687,Low
0.002957363712279509,Low
0.04830735996723643,Low
0.03249057648533653,Low
