HealthIndex,HealthClass
0.36012527520215665,Low
0.5017778934751767,High
0.5557768325967054,High
0.3994413603816306,Low
0.6152074288518872,High
0.4842220271304111,High
0.6250388525720914,High
0.5922181539128695,High
0.4716255672566882,High
0.46513113729871697,High
0.5040429019777687,High
0.25857321983506737,Low
0.18021537866004966,Low
0.5195551301413608,High
0.5981623614128838,High
0.42177559387989627,Low
0.33619753955250836,Low
0.4240091913702907,Low
0.506935561607374,High
0.5045667669064005,High
0.38512870421647105,Low
0.637115455796127,High
0.47399765960209295,High
0.254094937055516,Low
0.3717210460207271,Low
0.3097156346372588,Low
0.4341568347580017,Low
0.4396396014427104,Low
0.35781559181191275,Low
0.6485421396999121,High
0.1607944718434229,Low
0.05265586205097556,Low
0.5946094332357637,High
0.5740480964263293,High
0.5680737658130078,High
0.3537395906644804,Low
0.2848066383307046,Low
0.35372210716403885,Low
0.5685144140956124,High
0.34938479318023674,Low
0.5166397939843901,High
0.5862546656374028,High
0.5605698641545314,High
0.5786327892328732,High
0.6284577808215766,High
0.3613363251280175,Low
0.2453165795836482,Low
0.5475057448661458,High
0.5352925243195856,High
0.443898370429972,Low
0.34781548853267386,Low
0.3583519704976313,Low
0.5086083851746283,High
0.04391657876790546,Low
0.42632686860824937,Low
0.4771095143594041,High
0.6039969309660161,High
0.6831789622151204,High
0.43005541269761877,Low
0.3251014294821285,Low
0.45306788580334506,High
0.6305589677757701,High
0.4520944084690018,High
0.599540557889507,High
0.48456966084762093,High
0.2891095100851201,Low
0.3088848917663218,Low
0.4553342123261422,High
0.3471698395789853,Low
0.47784826836420335,High
0.5224015408933261,High
0.26251275231162313,Low
0.53736399804208,High
0.5165757761402859,High
0.5811395150931387,High
0.4889193941609671,High
0.6178055644040034,High
0.6217205267244743,High
0.6304523825101723,High
0.5163854977012299,High
0.6649313154809454,High
0.5318816022101348,High
0.49933139916305747,High
0.4116123785358485,Low
0.21653626514645377,Low
0.6225833596191399,High
0.493523726731049,High
0.5560384416892423,High
0.48329605258314684,High
0.43332663841107594,Low
0.4887620667658177,High
0.4917157865688547,High
0.05614355017138766,Low
0.3233758078406406,Low
0.5195690134413409,High
0.4899004011895089,High
0.5618182367344019,High
0.19364811740354862,Low
0.3592626721777218,Low
0.5823722922713934,High
0.5117383237838814,High
0.33928693826621964,Low
0.45029987917368525,Low
0.3716675541716709,Low
0.49128879583939034,High
0.5791127347113186,High
0.4614383925059012,High
0.4639408357986403,High
0.4545949614544133,High
0.5415740776858374,High
0.33926184792759256,Low
0.4502807635381471,Low
0.38190547305094136,Low
0.4683895892232483,High
0.6247575445023726,High
0.5824921733474927,High
0.49597267035407516,High
0.3223509040013216,Low
0.06300618661378189,Low
0.26295701157486184,Low
0.6089574541543405,High
0.5487625555210334,High
0.44450565825429883,Low
0.5426156096073362,High
0.4124236767829855,Low
0.511832849564033,High
0.5485724499943535,High
0.2439084374964908,Low
0.562192109758343,High
0.5831966433210001,High
0.5224985567014494,High
0.5164754953361433,High
0.5703097366651058,High
0.4085094111456229,Low
0.4720085408095277,High
0.4578922593055436,High
0.4650281629694543,High
0.06376446894241135,Low
0.5826393333957205,High
0.5402442765104867,High
0.5498642008236829,High
0.2033877453739867,Low
0.037925101204194143,Low
0.05777424644160764,Low
0.0511275956334911,Low
0.6396257145682723,High
0.5089287756796691,High
0.4262244631999856,Low
0.4874757008772735,High
0.618226933582345,High
0.6241083567505604,High
0.22067563669064927,Low
0.6109965895372825,High
0.46893948172219274,High
0.37948479392558976,Low
0.5441896512089648,High
0.4106846941280614,Low
0.3675657339857153,Low
0.5051189835269204,High
0.5316560624386992,High
0.5819334162763017,High
0.4976785757554094,High
0.37289360889513096,Low
0.5202427567059967,High
0.5719981883294484,High
0.32045624447360577,Low
0.6821403267147347,High
0.5513673132655855,High
0.5164951186000104,High
0.44490723505911367,Low
0.5461921898237735,High
0.22946344245477446,Low
0.35686228561696387,Low
0.36389207749884467,Low
